id,description,chart_template_id:id,type_tax_use,name,type,amount,account_collected_id:id,account_paid_id:id,base_code_id:id,tax_code_id:id,ref_base_code_id:id,ref_tax_code_id:id,tax_sign,base_sign,ref_base_sign,ref_tax_sign,parent_id:id
tax_input_vat,,chart,purchase,Input VAT,percent,0.07,a_input_vat,a_input_vat,tc_base_input,tc_tax_vat_input,,,1,1,1,1,
tax_output_vat,,chart,sale,Output VAT,percent,0.07,a_output_vat,a_output_vat,tc_base_output,tc_tax_vat_output,,,1,1,1,1,
tax_wht_co_1,,chart,purchase,Company Withholding Tax 1% (Transportation),percent,0.01,a_wht,a_wht,tc_base_wht_co_other,tc_tax_wht_co_other,,,1,1,1,1,
tax_wht_co_2,,chart,purchase,Company Withholding Tax 2% (Advertising),percent,0.02,a_wht,a_wht,tc_base_wht_co_other,tc_tax_wht_co_other,,,1,1,1,1,
tax_wht_co_3,,chart,purchase,Company Withholding Tax 3% (Service),percent,0.03,a_wht,a_wht,tc_base_wht_co_serv,tc_tax_wht_co_serv,,,1,1,1,1,
tax_wht_co_5,,chart,purchase,Company Withholding Tax 5% (Rental),percent,0.05,a_wht,a_wht,tc_base_wht_co_other,tc_tax_wht_co_other,,,1,1,1,1,
tax_wht_pers_1,,chart,purchase,Personal Withholding Tax 1% (Transportation),percent,0.01,a_wht,a_wht,tc_base_wht_pers_other,tc_tax_wht_pers_other,,,1,1,1,1,
tax_wht_pers_2,,chart,purchase,Personal Withholding Tax 2% (Advertising),percent,0.02,a_wht,a_wht,tc_base_wht_pers_other,tc_tax_wht_pers_other,,,1,1,1,1,
tax_wht_pers_3,,chart,purchase,Personal Withholding Tax 3% (Service),percent,0.03,a_wht,a_wht,tc_base_wht_pers_serv,tc_tax_wht_pers_serv,,,1,1,1,1,
tax_wht_pers_5,,chart,purchase,Personal Withholding Tax 5% (Rental),percent,0.05,a_wht,a_wht,tc_base_wht_pers_other,tc_tax_wht_pers_other,,,1,1,1,1,
tax_wht_income_1,,chart,sale,Withholding Income Tax 1% (Transportation),percent,0.01,a_wht_income,a_wht_income,,,,,1,1,1,1,
tax_wht_income_2,,chart,sale,Withholding Income Tax 2% (Advertising),percent,0.02,a_wht_income,a_wht_income,,,,,1,1,1,1,
tax_wht_income_3,,chart,sale,Withholding Income Tax 3% (Service),percent,0.03,a_wht_income,a_wht_income,,,,,1,1,1,1,
tax_wht_income_5,,chart,sale,Withholding Income Tax 5% (Rental),percent,0.05,a_wht_income,a_wht_income,,,,,1,1,1,1,
